Name,Tier,Class,Card Type,Mana Cost,Rarity,Set,Tribe/School,Mechanic
Inner Rage,League 4,Warrior,Spell,0,Common,Legacy,None,"Buff, Deal Damage"
Preparation,League 2,Rogue,Spell,0,Epic,"Core, Legacy",None,
Murloc Tinyfin,League 5,Neutral,Minion,0,Common,League of Explorers,Murloc,
Blur,League 5,Demon Hunter,Spell,0,Common,Demon Hunter Initiate,None,
Counterfeit Coin,League 2,Rogue,Spell,0,Rare,Mean Streets of Gadgetzan,None,
Forbidden Flame,League 5,Mage,Spell,0,Epic,Whispers of the Old Gods,Fire,Deal Damage
Backstab,League 2,Rogue,Spell,0,Common,"Core, Legacy",None,
Regenerate,League 3,Priest,Spell,0,Common,Rastakhan's Rumble,Holy,
Mutate,League 4,Shaman,Spell,0,Common,Rise of Shadows,Nature,Evolve
Desperate Prayer,League 3,Priest,Spell,0,Common,Forged in the Barrens,Holy,
Devouring Swarm,League 3,Hunter,Spell,0,Rare,United in Stormwind,,
Innervate,League 2,Druid,Spell,0,Rare,"Core, Legacy",Nature,Mana
Priestess Valishj,League 3,Priest,Minion,0,Legendary,Voyage to the Sunken City,Naga,
Ritual of Doom,League 4,Warlock,Spell,0,Rare,Legacy,"Demon, Shadow",Summon
Pounce,League 5,Druid,Spell,0,Common,"Core, Rastakhan's Rumble",None,Hero Attack
Undying Allies,League 3,Priest,Spell,0,Common,March of the Lich king,"Shadow, Undead",
Lightning Bloom,League 2,"Druid, Shaman",Spell,0,Common,Scholomance Academy,Nature,"Mana, Overload"
Horn of Winter,League 3,Death Knight,Spell,0,Common,Path of Arthas,"Frost, FrostRune",Mana
Hot Streak,League 4,Mage,Spell,0,Common,United in Stormwind,Fel,Mana
Totemic Might,League 2,Shaman,Spell,0,Common,Legacy,"None, Totem",
Aquatic Form,League 1,Druid,Spell,0,Common,Voyage to the Sunken City,None,"Draw, Dredge"
Embiggen,League 4,Druid,Spell,0,Epic,Descent of Dragons,Nature,Buff
Forbidden Ritual,League 5,Warlock,Spell,0,Rare,Whispers of the Old Gods,Shadow,Summon
Moonfire,League 5,Druid,Spell,0,Common,Legacy,Arcane,Deal Damage
Elemental Evocation,League 3,Mage,Spell,0,Common,Rastakhan's Rumble,"Elemental, Fire",
Arms Dealer,League 3,Neutral,Minion,1,Common,March of the Lich king,Undead,Buff
Naturalize,League 2,Druid,Spell,1,Common,Legacy,Nature,Removal
The Caverns Below,League 3,Rogue,Spell,1,Legendary,Journey to Un'goro,None,
Ghostly Strike,League 2,Rogue,Spell,1,Common,March of the Lich king,None,
Jungle Giants,League 5,Druid,Spell,1,Legendary,Journey to Un'goro,None,"Mana, Quest"
Lingering Zombie,League 3,Druid,Minion,1,Common,March of the Lich king,Undead,"Deathrattle, Summon"
Bottomfeeder,League 4,Druid,Minion,1,Epic,Voyage to the Sunken City,Beast,Deathrattle
Town Crier,League 3,Warrior,Minion,1,Epic,The Witchwood,None,
Animate Dead,League 3,Priest,Spell,1,Rare,March of the Lich king,Shadow,
Frost Shock,League 5,Shaman,Spell,1,Common,Legacy,Frost,"Deal Damage, Freeze"
Magic Trick,League 2,Mage,Spell,1,Rare,Rise of Shadows,Arcane,
Lock and Load,League 5,Hunter,Spell,1,Epic,The Grand Tournament,None,
Theft Accusation,League 4,Priest,Spell,1,Rare,Murder at Castle Nathria,Shadow,"Removal, Thief"
Soulbound Ashtongue,League 5,Neutral,Minion,1,Common,Ashes of Outland,None,Deal Damage
Blessing of Might,"League 4, Suspect Test",Paladin,Spell,1,Common,Legacy,Holy,Buff
Totemic Evidence,League 4,Shaman,Spell,1,Common,Murder at Castle Nathria,"None, Totem",Summon
Shivering Sorceress,League 3,Mage,Minion,1,Common,Fractured in Alterac Valley,None,
Blackwater Cutlass,League 2,Rogue,Weapon,1,Common,United in Stormwind,None,
Raven Idol,League 5,Druid,Spell,1,Common,League of Explorers,None,"Choose One, Discover"
Concoctor,League 3,Rogue,Minion,1,Common,March of the Lich king,None,
Potion Vendor,League 5,Neutral,Minion,1,Common,Rise of Shadows,None,"Battlecry, Health"
Shadow Council,League 4,Warlock,Spell,1,Epic,Ashes of Outland,"Demon, Fel",Buff
Whetstone Hatchet,League 4,Warrior,Weapon,1,Rare,Forged in the Barrens,None,"Buff, Hero Attack"
Bladed Cultist,League 5,Rogue,Minion,1,Common,Whispers of the Old Gods,None,Combo
Adaptation,League 5,Paladin,Spell,1,Common,Journey to Un'goro,None,Buff
Supreme Archaeology,League 4,Warlock,Spell,1,Legendary,Saviours of Uldum,None,"Draw, Hero Power, Mana, Quest"
Azsharan Scroll,League 4,Shaman,Spell,1,Rare,Voyage to the Sunken City,"Fire, Frost, Nature, None",Discover
Wildfire,League 3,Mage,Spell,1,Epic,Forged in the Barrens,Fire,
Mistake,League 2,Neutral,Minion,1,Epic,March of the Lich king,"Beast, Demon, Dragon, Elemental, Mech, Murloc, Naga, Pirate, Quilboar, Undead",
Elwynn Boar,League 5,Neutral,Minion,1,Epic,United in Stormwind,Beast,"Deathrattle, Weapon"
Flustered Librarian,League 3,Warlock,Minion,1,Common,Murder at Castle Nathria,"Imp, None",
Twin Slice,League 3,Demon Hunter,Spell,1,Common,Demon Hunter Initiate,None,
Aldor Attendant,League 4,Paladin,Minion,1,Common,Ashes of Outland,None,"Battlecry, Libram"
Desperate Measures,League 4,Paladin,Spell,1,Rare,Rise of Shadows,None,Secret
Getaway Kodo,League 5,Paladin,Spell,1,Rare,Mean Streets of Gadgetzan,None,Secret
Deadly Poison,League 3,Rogue,Spell,1,Common,"Core, Legacy",Nature,
Vibrant Squirrel,League 4,Druid,Minion,1,Rare,United in Stormwind,Beast,"Deathrattle, Summon"
Wound Prey,League 2,Hunter,Spell,1,Common,Forged in the Barrens,"Beast, None",
Sow the Soil,League 4,Druid,Spell,1,Common,United in Stormwind,"Nature, Treant","Buff, Choose One, Summon"
Filletfighter,League 2,Rogue,Minion,1,Common,Voyage to the Sunken City,Pirate,
Tuskpiercer,League 4,Demon Hunter,Weapon,1,Rare,Forged in the Barrens,None,"Deathrattle, Draw, Tutor"
Dwarven Sharpshooter,League 4,Hunter,Minion,1,Common,Descent of Dragons,None,Hero Power
Zombie Chow,League 4,Neutral,Minion,1,Common,Curse of Naxxramas,None,Deathrattle
Cloning Device,League 3,Priest,Spell,1,Common,Boomsday Project,None,
Secret Plan,League 4,Hunter,Spell,1,Common,Boomsday Project,None,"Discover, Secret"
Selfless Hero,League 5,Paladin,Minion,1,Rare,Whispers of the Old Gods,None,"Deathrattle, Divine Shield"
Shifter Zerus,League 5,Neutral,Minion,1,Legendary,Whispers of the Old Gods,None,
Cold Storage,League 2,Shaman,Spell,1,Rare,March of the Lich king,Frost,
Tour Guide,League 2,Neutral,Minion,1,Common,"Core, Scholomance Academy",None,Battlecry
Upgrade!,League 4,Warrior,Spell,1,Rare,Legacy,None,Weapon
Suspicious Usher,League 4,Priest,Minion,1,Rare,Murder at Castle Nathria,None,"Battlecry, Discover"
Glow-Tron,League 3,Paladin,Minion,1,Common,Boomsday Project,Mech,
Inner Fire,League 3,Priest,Spell,1,Common,Legacy,None,
Daring Fire-Eater,League 4,Mage,Minion,1,Common,Rastakhan's Rumble,None,"Battlecry, Hero Power"
Pharaoh Cat,League 4,Rogue,Minion,1,Common,Saviours of Uldum,"Beast, Undead","Battlecry, Reborn"
Wretched Tiller,League 5,Neutral,Minion,1,Common,Knights of the Frozen Throne,Undead,Deal Damage
Guidance,League 4,"Druid, Shaman",Spell,1,Rare,Madness at the Darkmoon Faire,None,"Discover, Overload"
Weasel Tunneler,League 5,Neutral,Minion,1,Epic,Mean Streets of Gadgetzan,Beast,"Deathrattle, Disruption"
Sanguine Depths,League 3,Warrior,Location,1,Rare,Murder at Castle Nathria,None,
Fire Fly,League 4,Neutral,Minion,1,Common,Journey to Un'goro,Elemental,Battlecry
Sinister Strike,League 3,Rogue,Spell,1,Rare,Legacy,None,
Possessed Villager,League 5,Warlock,Minion,1,Common,Whispers of the Old Gods,None,"Deathrattle, Summon"
Sky Raider,League 3,Warrior,Minion,1,Common,Descent of Dragons,Pirate,
Heart Strike,League 2,Death Knight,Spell,1,Common,Core,"BloodRune, None","Corpse, Deal Damage"
Unseal the Vault,League 5,Hunter,Spell,1,Legendary,Saviours of Uldum,None,"Buff, Hero Power, Quest"
Armor Vendor,League 1,Neutral,Minion,1,Rare,"Core, Madness at the Darkmoon Faire",None,"Armor, Battlecry"
Leatherworking Kit,League 5,Hunter,Weapon,1,Rare,United in Stormwind,"Beast, None","Buff, Draw, Tutor"
Worthy Expedition,League 5,Druid,Spell,1,Common,Saviours of Uldum,None,"Choose One, Discover"
Gravelsnout Knight,League 5,Neutral,Minion,1,Rare,Kobolds and Catacombs,None,Battlecry
Animated Broomstick,League 3,Neutral,Minion,1,Common,Scholomance Academy,None,"Battlecry, Rush"
Unstable Felbolt,League 4,Warlock,Spell,1,Common,Ashes of Outland,Fel,Deal Damage
Secretkeeper,League 5,Neutral,Minion,1,Rare,Legacy,None,Secret
Door of Shadows,League 2,Rogue,Spell,1,Rare,Murder at Castle Nathria,Shadow,
Shoulder Check,League 5,Warrior,Spell,1,Rare,Fractured in Alterac Valley,None,"Buff, Rush, Tradeable"
Living Roots,League 2,Druid,Spell,1,Common,"Core, The Grand Tournament",Nature,"Choose One, Deal Damage, Summon"
Cursed Blade,League 5,Warrior,Weapon,1,Rare,League of Explorers,None,
Potion of Madness,League 2,Priest,Spell,1,Common,Mean Streets of Gadgetzan,Shadow,
Babbling Book,League 3,Mage,Minion,1,Rare,"Core, One Night in Karazhan",None,Battlecry
Blood To Ichor,League 5,Warrior,Spell,1,Rare,Whispers of the Old Gods,None,"Deal Damage, Summon"
Whirlwind,League 4,Warrior,Spell,1,Common,"Core, Legacy",None,Deal Damage
Dragon's Hoard,League 4,Rogue,Spell,1,Rare,Descent of Dragons,None,"Discover, Thief"
Clockwork Gnome,League 4,Neutral,Minion,1,Common,Goblins v Gnomes,Mech,Deathrattle
Claw,League 4,Druid,Spell,1,Common,Legacy,None,"Armor, Hero Attack"
Spirit Bomb,League 4,Warlock,Spell,1,Common,"Boomsday Project, Core",Shadow,Deal Damage
Planted Evidence,League 2,Druid,Spell,1,Common,Murder at Castle Nathria,Nature,"Discover, Mana"
Storm's Wrath,League 4,Shaman,Spell,1,Rare,Descent of Dragons,Nature,"Buff, Overload"
Meeting Stone,League 5,Neutral,Minion,1,Common,Forged in the Barrens,None,
Humility,League 5,Paladin,Spell,1,Common,Legacy,None,Removal
Invocation of Frost,League 3,Shaman,Spell,1,Common,Descent of Dragons,"Elemental, Frost","Freeze, Galakrond, Summon"
Shield Slam,League 2,Warrior,Spell,1,Epic,"Core, Legacy",None,
Plague of Flames,League 2,Warlock,Spell,1,Rare,Saviours of Uldum,Fire,
Last Stand,League 4,Warrior,Spell,1,Rare,March of the Lich king,None,"Buff, Draw, Taunt, Tutor"
Altar of Fire,League 3,Warlock,Spell,1,Epic,Forged in the Barrens,Fire,
Praise Galakrond!,League 4,Rogue,Spell,1,Common,Descent of Dragons,None,"Buff, Galakrond, Lackey"
Emerald Skytalon,League 5,Neutral,Minion,1,Common,Core,"Beast, Elemental",Rush
Draconic Studies,League 4,Priest,Spell,1,Common,Scholomance Academy,"Dragon, None","Discover, Mana"
Cold Blood,"League 4, Suspect Test",Rogue,Spell,1,Common,Legacy,None,Buff
Swashburglar,League 3,Rogue,Minion,1,Common,"Core, One Night in Karazhan",Pirate,"Battlecry, Thief"
Noble Sacrifice,League 4,Paladin,Spell,1,Common,Legacy,None,"Secret, Summon"
Arcane Breath,League 4,Mage,Spell,1,Rare,Descent of Dragons,"Arcane, Dragon","Deal Damage, Discover"
Infectious Sporeling,League 5,Neutral,Minion,1,Rare,Ashes of Outland,None,Removal
Southsea Deckhand,League 2,Neutral,Minion,1,Common,Legacy,Pirate,"Charge, Weapon"
Sigil of Alacrity,League 3,Demon Hunter,Spell,1,Rare,United in Stormwind,Shadow,"Draw, Mana, Sigil"
Doomerang,League 4,Rogue,Spell,1,Epic,Knights of the Frozen Throne,None,"Deal Damage, Weapon"
Skeletal Sidekick,League 2,Death Knight,Minion,1,Common,Core,Undead,"Battlecry, Buff"
Arcane Wyrm,League 3,Mage,Minion,1,Common,March of the Lich king,"Arcane, None",
Snap Freeze,League 5,Mage,Spell,1,Common,"Core, The Witchwood",Frost,"Freeze, Removal"
Flare,League 3,Hunter,Spell,1,Rare,Legacy,None,
Spirit of the Raptor,League 5,Druid,Minion,1,Rare,Rastakhan's Rumble,None,"Draw, Stealth"
Bubbler,League 5,Neutral,Minion,1,Common,Voyage to the Sunken City,Elemental,
Goldshire Footman,League 5,Neutral,Minion,1,Common,Legacy,None,Taunt
Sunscale Raptor,League 4,Hunter,Minion,1,Rare,Forged in the Barrens,Beast,
Frazzled Freshman,League 4,Priest,Minion,1,Common,Scholomance Academy,None,
Blazing Transmutation,League 3,Shaman,Spell,1,Common,March of the Lich king,Fire,
Shadowblade Slinger,League 4,Warlock,Minion,1,Common,United in Stormwind,Pirate,"Battlecry, Deal Damage"
Acornbearer,League 5,Druid,Minion,1,Common,Rise of Shadows,None,Deathrattle
Injured Kvaldir,League 5,Neutral,Minion,1,Rare,The Grand Tournament,None,Battlecry
Mana Burn,League 2,Demon Hunter,Spell,1,Common,Demon Hunter Initiate,Fel,
Shield of Honor,League 3,"Paladin, Warrior",Spell,1,Common,Scholomance Academy,Holy,
Nature Studies,League 2,Druid,Spell,1,Common,Scholomance Academy,Nature,"Discover, Mana"
Wicked Whispers,League 2,Warlock,Spell,1,Rare,Madness at the Darkmoon Faire,Shadow,
Double Jump,League 3,Demon Hunter,Spell,1,Common,Scholomance Academy,None,
Dredger Staff,League 4,Neutral,Minion,1,Common,Murder at Castle Nathria,None,"Battlecry, Buff"
Power Word: Shield,League 3,Priest,Spell,1,Common,Legacy,Holy,
Lost in the Jungle,League 3,Paladin,Spell,1,Common,Journey to Un'goro,"None, Silver Hand Recruit",
Sludge Slurper,League 4,Shaman,Minion,1,Rare,Rise of Shadows,Murloc,"Battlecry, Lackey, Overload"
Soulfire,League 2,Warlock,Spell,1,Common,Legacy,Fire,
Azsharan Gardens,League 4,Druid,Spell,1,Common,Voyage to the Sunken City,None,Buff
Secret Passage,League 2,Rogue,Spell,1,Epic,Scholomance Academy,None,
Find the Imposter,League 4,Rogue,Spell,1,Legendary,United in Stormwind,None,Quest
Kingsbane,League 3,Rogue,Weapon,1,Legendary,Kobolds and Catacombs,None,
Abusive Sergeant,League 5,Neutral,Minion,1,Common,Legacy,None,"Battlecry, Buff"
Gnome Private,League 5,Neutral,Minion,1,Common,Fractured in Alterac Valley,None,
Peasant,League 3,Neutral,Minion,1,Common,United in Stormwind,None,Draw
Ray of Frost,League 2,Mage,Spell,1,Common,Rise of Shadows,Frost,
Curse of Agony,League 2,Warlock,Spell,1,Rare,Fractured in Alterac Valley,Shadow,
Repentance,League 5,Paladin,Spell,1,Common,Legacy,Holy,Secret
Grimoire of Sacrifice,League 3,Warlock,Spell,1,Common,Forged in the Barrens,Shadow,
Helmet Hermit,League 5,Neutral,Minion,1,Rare,Voyage to the Sunken City,Beast,
Fiendish Servant,League 5,Warlock,Minion,1,Common,Descent of Dragons,Demon,"Buff, Deathrattle"
Wand Thief,League 3,Mage,Minion,1,Common,Scholomance Academy,None,
Windchill,League 2,Shaman,Spell,1,Common,Fractured in Alterac Valley,Frost,
Learn Draconic,League 4,Mage,Minion,1,Common,Descent of Dragons,"Dragon, None","Mana, Quest, Summon"
The Light! It Burns!,League 2,Priest,Spell,1,Common,Murder at Castle Nathria,Holy,
Plagued Grain,League 4,Death Knight,Spell,1,Rare,Core,"None, Undead, UnholyRune","Corpse, Summon"
Holy Maki Roll,League 3,Paladin,Spell,1,Rare,Voyage to the Sunken City,Holy,
Vilefin Inquisitor,League 4,Paladin,Minion,1,Epic,Whispers of the Old Gods,Murloc,"Battlecry, Hero Power"
Voodoo Doctor,League 5,Neutral,Minion,1,Common,Legacy,None,"Battlecry, Health"
Biology Project,League 2,Druid,Spell,1,Common,Boomsday Project,Nature,Mana
Totemic Smash,League 4,Shaman,Spell,1,Common,Rastakhan's Rumble,"None, Totem","Deal Damage, Summon"
Violet Spellwing,League 4,Mage,Minion,1,Common,Descent of Dragons,"Arcane, Beast","Deal Damage, Deathrattle"
Floop’s Glorious Gloop,"League 2, Suspect Test",Druid,Spell,1,Legendary,Boomsday Project,Nature,Mana
Body Bagger,League 2,Death Knight,Minion,1,Common,Core,Undead,"Battlecry, Corpse"
Brave Archer,League 5,Hunter,Minion,1,Common,The Grand Tournament,None,"Deal Damage, Hero Power"
Jar Dealer,League 5,Neutral,Minion,1,Common,Saviours of Uldum,None,Deathrattle
Never Surrender!,League 4,Paladin,Spell,1,Common,Rise of Shadows,None,"Buff, Secret"
Spirit Claws,League 5,Shaman,Weapon,1,Common,One Night in Karazhan,None,Spell Damage
Tome of Intellect,League 5,Mage,Spell,1,Common,Legacy,Arcane,
Icy Touch,League 4,Death Knight,Spell,1,Common,Path of Arthas,"Frost, FrostRune","Deal Damage, Freeze"
Arcane Blast,League 5,Mage,Spell,1,Epic,The Grand Tournament,Arcane,"Deal Damage, Spell Damage"
Gone Fishin',League 2,Rogue,Spell,1,Rare,Voyage to the Sunken City,None,
Shadowbomber,League 3,Priest,Minion,1,Epic,Goblins v Gnomes,None,
Witch's Apprentice,League 5,Shaman,Minion,1,Common,The Witchwood,Beast,"Battlecry, Taunt"
Stampede,League 5,Hunter,Spell,1,Epic,Journey to Un'goro,"Beast, None",
Evocation,League 2,Mage,Spell,1,Legendary,Ashes of Outland,Arcane,
Hunter's Mark,League 4,Hunter,Spell,1,Common,Legacy,None,Removal
First Flame,League 2,Mage,Spell,1,Rare,United in Stormwind,Fire,
Slam,League 3,Warrior,Spell,1,Common,"Core, Legacy",None,
Bloodsail Flybooter,League 3,Rogue,Minion,1,Common,Descent of Dragons,Pirate,
Risky Skipper,League 3,Warrior,Minion,1,Rare,Descent of Dragons,Pirate,
Smuggler's Run,League 4,Paladin,Spell,1,Common,Mean Streets of Gadgetzan,None,Buff
Investment Opportunity,League 4,Shaman,Spell,1,Common,United in Stormwind,None,"Draw, Overload, Tutor"
Iron Hide,League 4,Warrior,Spell,1,Common,Journey to Un'goro,None,Armor
Cogmaster,League 5,Neutral,Minion,1,Common,Goblins v Gnomes,"Mech, None",
Activate the Obelisk,League 4,Priest,Spell,1,Legendary,Saviours of Uldum,None,"Buff, Health, Hero Power, Quest"
Blackjack Stunner,League 4,Rogue,Minion,1,Rare,Ashes of Outland,None,"Battlecry, Disruption, Removal, Secret"
Goblin Bomb,League 5,Neutral,Minion,1,Common,Boomsday Project,Mech,"Deal Damage, Deathrattle"
Lightning Bolt,League 3,Shaman,Spell,1,Common,"Core, Legacy",Nature,
Devastate,League 5,Warrior,Spell,1,Common,Rastakhan's Rumble,None,Deal Damage
Suspicious Alchemist,League 3,Mage,Minion,1,Rare,Murder at Castle Nathria,None,"Battlecry, Discover"
"Ivus, the Forest Lord",League 4,Neutral,Minion,1,Legendary,Fractured in Alterac Valley,None,"Battlecry, Divine Shield, Mana, Rush, Taunt"
Shimmerfly,League 5,Hunter,Minion,1,Rare,Rise of Shadows,Beast,Deathrattle
Evolve,League 3,Shaman,Minion,1,Rare,Whispers of the Old Gods,Nature,
Murmy,League 4,Neutral,Minion,1,Common,"Core, Saviours of Uldum","Murloc, Undead",Reborn
Worgen Infiltrator,League 5,Neutral,Minion,1,Common,Legacy,None,Stealth
Command the Elements,"League 4, Suspect Test",Shaman,Spell,1,Legendary,United in Stormwind,"Elemental, None","Overload, Quest, Summon"
Twilight Whelp,League 5,Priest,Minion,1,Common,Blackrock Mountain,Dragon,Battlecry
Arcane Artificer,League 4,Mage,Minion,1,Common,"Core, Kobolds and Catacombs",Elemental,Armor
Athletic Studies,League 4,Warrior,Spell,1,Common,Scholomance Academy,None,"Discover, Mana, Rush"
Avenge,League 4,Paladin,Spell,1,Common,Curse of Naxxramas,Holy,"Buff, Secret"
Test Subject,"Banned, League 5",Priest,Minion,1,Rare,Boomsday Project,None,"Buff, Deathrattle"
Crystalsmith Cultist,League 3,Priest,Minion,1,Common,March of the Lich king,"None, Shadow",
Feast and Famine,League 3,Paladin,Spell,1,Common,March of the Lich king,None,
Shambling Chow,League 4,Demon Hunter,Minion,1,Common,March of the Lich king,Undead,"Deathrattle, Rush"
Eternium Rover,League 3,Warrior,Minion,1,Common,Boomsday Project,Mech,
Savagery,League 5,Druid,Spell,1,Rare,Legacy,None,"Deal Damage, Hero Attack"
Jeweled Macaw,League 5,Hunter,Minion,1,Common,"Core, Journey to Un'goro",Beast,Battlecry
Springpaw,League 3,Hunter,Minion,1,Common,Rastakhan's Rumble,Beast,
Knight of Anointment,League 3,Paladin,Minion,1,Common,Forged in the Barrens,"Holy, None",
Resizing Pouch,League 4,"Druid, Hunter",Spell,1,Common,Madness at the Darkmoon Faire,None,Discover
Crimson Sigil Runner,League 2,Demon Hunter,Minion,1,Common,"Ashes of Outland, Core",None,
Carrion Studies,League 5,Hunter,Spell,1,Common,Scholomance Academy,None,"Deathrattle, Discover, Mana"
Wings of Hate (Rank 1),League 5,Demon Hunter,Spell,1,Rare,Fractured in Alterac Valley,"Demon, None",Summon
Grim Rally,League 3,Warlock,Spell,1,Rare,Rastakhan's Rumble,Shadow,
Candleshot,League 4,Hunter,Weapon,1,Common,"Core, Kobolds and Catacombs",None,
Psychic Conjurer,League 2,Priest,Minion,1,Common,"Core, Legacy",None,"Battlecry, Thief"
Strenght in the Numbers,League 5,Druid,Spell,1,Common,Descent of Dragons,None,"Quest, Summon"
Sinister Deal,League 5,Warlock,Spell,1,Common,Saviours of Uldum,None,"Discover, Lackey"
Dark Pact,"League 4, Suspect Test",Warlock,Spell,1,Common,Kobolds and Catacombs,Shadow,Health
The Last Kaleidosaur,League 5,Paladin,Spell,1,Legendary,Journey to Un'goro,"Beast, None",Quest
Gadgetzan Jouster,League 5,Neutral,Minion,1,Common,The Grand Tournament,None,Battlecry
Blazing Invocation,League 4,Shaman,Spell,1,Rare,The Witchwood,Fire,"Battlecry, Discover"
Arcane Anomaly,League 5,Neutral,Minion,1,Common,One Night in Karazhan,Elemental,
Toxic Reinforcements,League 3,Hunter,Spell,1,Epic,Descent of Dragons,None,
Gurubashi Offering,League 5,Neutral,Minion,1,Epic,Rastakhan's Rumble,None,Armor
Righteous Cause,League 3,Paladin,Spell,1,Rare,Descent of Dragons,None,
Bloodsail Corsair,League 3,Neutral,Minion,1,Rare,Legacy,Pirate,"Battlecry, Disruption"
First Day of School,League 3,Paladin,Spell,1,Common,Scholomance Academy,None,
Beaming Sidekick,League 5,Neutral,Minion,1,Common,Saviours of Uldum,None,"Battlecry, Buff"
Raid the Docks,League 3,Warrior,Spell,1,Legendary,United in Stormwind,"None, Pirate",
Lakkari Sacrifice,League 5,Warlock,Spell,1,Legendary,Journey to Un'goro,"Demon, Imp, None","Discard, Quest"
Northshire Cleric,League 3,Priest,Minion,1,Common,Legacy,None,
Voidwalker,League 3,Warlock,Minion,1,Common,"Core, Legacy",Demon,
Witchwood Apple,League 5,Druid,Spell,1,Common,The Witchwood,"Nature, Treant",
Voltaic Burst,League 4,Shaman,Spell,1,Rare,Boomsday Project,"Elemental, Nature","Overload, Rush, Summon"
Spymistress,League 4,Rogue,Minion,1,Common,Ashes of Outland,None,Stealth
Mana Wyrm,League 5,Mage,Minion,1,Common,Legacy,None,
Rake,League 3,Druid,Spell,1,Rare,March of the Lich king,None,"Deal Damage, Hero Attack"
Overdraft,League 3,Shaman,Spell,1,Epic,"Core, United in Stormwind",None,"Deal Damage, Overload, Tradeable"
Patches the Pirate,League 2,Neutral,Minion,1,Legendary,Mean Streets of Gadgetzan,"Demon, Pirate",Summon
Small-Time Buccaneer,"League 5, Warrior League 3",Neutral,Minion,1,Rare,Mean Streets of Gadgetzan,Pirate,Weapon
Parrrley,League 3,Rogue,Spell,1,Rare,United in Stormwind,None,
Bloodsail Deckhand,League 3,Warrior,Minion,1,Common,Legacy,Pirate,
Touch of the Nathrezim,League 2,Warlock,Spell,1,Rare,United in Stormwind,Shadow,
Shattershambler,League 3,Rogue,Minion,1,Rare,Voyage to the Sunken City,Elemental,
Vicious Slitherspear,League 2,Neutral,Minion,1,Rare,Voyage to the Sunken City,Naga,
Crystallizer,League 5,Neutral,Minion,1,Epic,Boomsday Project,None,"Armor, Battlecry, Deal Damage"
Grimscale Chum,League 5,Paladin,Minion,1,Common,Mean Streets of Gadgetzan,Murloc,"Battlecry, Buff"
Plague of Madness,League 4,Rogue,Spell,1,Rare,Saviours of Uldum,Shadow,"Disruption, Poisonous, Weapon"
Emerald Hive Queen,League 5,Neutral,Minion,1,Epic,Journey to Un'goro,Beast,
Lost in the Park,League 3,Druid,Spell,1,Legendary,United in Stormwind,None,"Armor, Draw, Hero Attack, Taunt"
Druid of the Reef,League 3,Druid,Minion,1,Common,Voyage to the Sunken City,"Beast, None","Choose One, Rush, Taunt"
